node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,0.0,0.0,20.0,45.9324,6.735993,0.0
1,-72.15523883675876,-68.9408545198994,25.0,45.9324,6.735993,0.0
2,-144.07846725913356,-137.8817090397988,30.0,45.9324,6.735993,0.0
3,-216.00169568163136,-206.82256355899088,36.0,45.9324,6.735993,0.0
4,-231.46905663273128,-275.76341807889025,42.0,45.9324,6.735993,0.0
5,-216.00169568163136,-355.8237652626507,48.0,45.9324,6.735993,0.0
6,-200.53433473059292,-444.7797065784902,53.0,45.9324,6.735993,0.0
7,-192.80065425504299,-533.7356478943296,58.0,45.9324,6.735993,0.0
8,-216.00169568163136,-622.6915892101692,61.0,45.9324,6.735993,0.0
9,-254.67009805925815,-711.6475305253014,64.0,45.9324,6.735993,0.0
10,-293.33850043700795,-800.6034718418482,65.0,45.9324,6.735993,0.0
11,-339.74058329012325,-900.6789058208415,66.0,45.9324,6.735993,0.0
12,-393.87634661891155,-1000.7543398012493,65.0,45.9324,6.735993,0.0
13,-448.01210994763824,-1100.8297737816572,64.0,45.9324,6.735993,0.0
14,-502.147873276365,-1200.905207762065,61.0,45.9324,6.735993,0.0
15,-548.5499561295418,-1300.980641742473,58.0,45.9324,6.735993,0.0
16,-594.95203898278,-1389.936583057605,53.0,45.9324,6.735993,0.0
17,-633.6204413604069,-1456.6535390443078,48.0,45.9324,6.735993,0.0
18,-664.5551632625452,-1490.0120170380128,42.0,45.9324,6.735993,0.0
19,-695.4898851646835,-1512.2510023664422,36.0,45.9324,6.735993,0.0
20,-710.9572461157835,-1523.3704950310107,30.0,45.9324,6.735993,0.0
21,-726.4246070668219,-1528.9302413632947,26.0,45.9324,6.735993,0.0
22,-738.0251277801161,-1532.2660891630896,23.0,45.9324,6.735993,0.0
23,-749.6256484934103,-1534.489987695579,21.0,45.9324,6.735993,0.0
24,-756.972644945192,-1512.2510023664422,20.0,45.9324,6.735993,0.0
