gateway_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,-634.9047942406424,-1401.7811747063529,67.5,45.9324,6.735993,0.0
1,-188.96605156801877,-379.1147762498067,67.5,45.9324,6.735993,0.0
