Range	40.0dB	-107.0dBm
Fixed unit	90	Unit   90	 47.28347	-002.16917	0.0
Fixed unit	91	Unit   91	 47.28336	-002.16907	0.0
Fixed unit	92	Unit   92	 47.28325	-002.16898	0.0
Fixed unit	93	Unit   93	 47.28314	-002.16889	0.0
Fixed unit	94	Unit   94	 47.28302	-002.16879	0.0
Fixed unit	95	Unit   95	 47.28291	-002.16870	0.0
Fixed unit	96	Unit   96	 47.28280	-002.16860	0.0
Fixed unit	97	Unit   97	 47.28269	-002.16851	0.0
Fixed unit	98	Unit   98	 47.28258	-002.16842	0.0
Fixed unit	99	Unit   99	 47.28247	-002.16832	0.0
Fixed unit	100	Unit  100	 47.28236	-002.16823	0.0
Fixed unit	101	Unit  101	 47.28223	-002.16814	0.0
Fixed unit	102	Unit  102	 47.28210	-002.16806	0.0
Fixed unit	103	Unit  103	 47.28196	-002.16798	0.0
Fixed unit	104	Unit  104	 47.28183	-002.16790	0.0
Fixed unit	105	Unit  105	 47.28170	-002.16782	0.0
Fixed unit	106	Unit  106	 47.28156	-002.16774	0.0
Fixed unit	107	Unit  107	 47.28143	-002.16766	0.0
Fixed unit	108	Unit  108	 47.28129	-002.16758	0.0
Fixed unit	109	Unit  109	 47.28115	-002.16750	0.0
Fixed unit	110	Unit  110	 47.28102	-002.16742	0.0
Fixed unit	111	Unit  111	 47.28088	-002.16734	0.0
Fixed unit	112	Unit  112	 47.28075	-002.16726	0.0
Fixed unit	113	Unit  113	 47.28061	-002.16717	0.0
Fixed unit	114	Unit  114	 47.28048	-002.16709	0.0
Fixed unit	115	Unit  115	 47.28034	-002.16701	3.1
Fixed unit	116	Unit  116	 47.28021	-002.16693	0.0
Fixed unit	117	Unit  117	 47.28007	-002.16685	0.0
Fixed unit	118	Unit  118	 47.27994	-002.16677	1.1
Fixed unit	119	Unit  119	 47.27980	-002.16669	2.2
Fixed unit	120	Unit  120	 47.27967	-002.16661	0.0
Fixed unit	121	Unit  121	 47.27953	-002.16653	0.0
Fixed unit	122	Unit  122	 47.27940	-002.16645	0.0
Fixed unit	123	Unit  123	 47.27926	-002.16637	0.0
Fixed unit	124	Unit  124	 47.27913	-002.16629	0.0
Fixed unit	125	Unit  125	 47.27899	-002.16621	0.0
Fixed unit	126	Unit  126	 47.27885	-002.16613	0.0
Fixed unit	127	Unit  127	 47.27872	-002.16605	0.0
Fixed unit	128	Unit  128	 47.27859	-002.16596	0.0
Fixed unit	129	Unit  129	 47.27845	-002.16588	0.0
Fixed unit	130	Unit  130	 47.27832	-002.16580	0.0
Fixed unit	131	Unit  131	 47.27818	-002.16572	0.0
Fixed unit	132	Unit  132	 47.27805	-002.16564	0.0
Fixed unit	133	Unit  133	 47.27791	-002.16556	0.0
Fixed unit	134	Unit  134	 47.27777	-002.16548	0.0
Fixed unit	135	Unit  135	 47.27764	-002.16540	0.0
Fixed unit	136	Unit  136	 47.27750	-002.16532	0.0
Fixed unit	137	Unit  137	 47.27737	-002.16524	0.0
Fixed unit	138	Unit  138	 47.27723	-002.16516	2.9
Fixed unit	139	Unit  139	 47.27710	-002.16508	1.0
Fixed unit	140	Unit  140	 47.27696	-002.16500	0.0
Fixed unit	141	Unit  141	 47.27683	-002.16492	0.0
Fixed unit	142	Unit  142	 47.27669	-002.16483	0.0
Fixed unit	143	Unit  143	 47.27656	-002.16475	2.2
Fixed unit	144	Unit  144	 47.27642	-002.16467	1.3
Fixed unit	145	Unit  145	 47.27629	-002.16459	0.0
Fixed unit	146	Unit  146	 47.27615	-002.16451	2.1
Fixed unit	147	Unit  147	 47.27602	-002.16443	3.0
Fixed unit	148	Unit  148	 47.27588	-002.16435	1.0
Fixed unit	149	Unit  149	 47.27575	-002.16427	0.0
Fixed unit	150	Unit  150	 47.27561	-002.16419	2.0
Fixed unit	151	Unit  151	 47.27548	-002.16414	1.1
Fixed unit	152	Unit  152	 47.27535	-002.16410	2.0
Fixed unit	153	Unit  153	 47.27522	-002.16406	0.0
Fixed unit	154	Unit  154	 47.27509	-002.16402	2.3
Fixed unit	155	Unit  155	 47.27496	-002.16397	1.2
Fixed unit	156	Unit  156	 47.27483	-002.16393	0.2
Fixed unit	157	Unit  157	 47.27470	-002.16389	1.1
Fixed unit	158	Unit  158	 47.27457	-002.16385	0.0
Fixed unit	159	Unit  159	 47.27444	-002.16381	0.0
Fixed unit	160	Unit  160	 47.27431	-002.16377	2.0
Fixed unit	161	Unit  161	 47.27418	-002.16373	0.0
Fixed unit	162	Unit  162	 47.27405	-002.16369	0.0
Fixed unit	163	Unit  163	 47.27392	-002.16365	0.0
Fixed unit	164	Unit  164	 47.27379	-002.16360	0.0
Fixed unit	165	Unit  165	 47.27366	-002.16356	0.0
Fixed unit	166	Unit  166	 47.27353	-002.16352	2.8
Fixed unit	167	Unit  167	 47.27340	-002.16348	0.0
Fixed unit	168	Unit  168	 47.27327	-002.16344	0.0
Fixed unit	169	Unit  169	 47.27314	-002.16340	1.1
Fixed unit	170	Unit  170	 47.27301	-002.16336	2.0
Fixed unit	171	Unit  171	 47.27288	-002.16332	1.5
Fixed unit	172	Unit  172	 47.27275	-002.16328	1.1
Fixed unit	173	Unit  173	 47.27262	-002.16323	0.8
Fixed unit	174	Unit  174	 47.27250	-002.16319	0.0
Fixed unit	175	Unit  175	 47.27237	-002.16315	0.0
Fixed unit	176	Unit  176	 47.27224	-002.16311	0.0
