node_id,latitude,longitude,height_m
0,47.2924222222222,-2.17602777777778,2
1,47.2922369248036,-2.17589893378227,2.11998775635139
2,47.292051627385,-2.17577008978676,2.23752678298133
3,47.2918663299663,-2.17564124579125,2.35261707988981
4,47.2916810325477,-2.17551240179574,2.46525864707683
5,47.2914957351291,-2.17538355780022,2.57545148454239
6,47.2913104377104,-2.17525471380471,2.6831955922865
7,47.2911251402918,-2.1751258698092,2.78849097030915
8,47.2909398428732,-2.17499702581369,2.89133761861035
9,47.2907545454546,-2.17486818181818,2.99173553719008
10,47.2905692480359,-2.17473933782267,3.08968472604836
11,47.2903839506173,-2.17461049382716,3.18518518518519
12,47.2901986531987,-2.17448164983165,3.27823691460055
13,47.29001335578,-2.17435280583614,3.36883991429446
14,47.2898280583614,-2.17422396184063,3.45699418426691
15,47.2896427609428,-2.17409511784512,3.54269972451791
16,47.2894574635241,-2.17396627384961,3.62595653504744
17,47.2892721661055,-2.1738374298541,3.70676461585552
18,47.2890868686869,-2.17370858585859,3.78512396694215
19,47.2889015712682,-2.17357974186308,3.86103458830732
20,47.2887162738496,-2.17345089786756,3.93449647995103
21,47.288530976431,-2.17332205387205,4.00550964187328
22,47.2883456790123,-2.17319320987654,4.07407407407407
23,47.2881603815937,-2.17306436588103,4.14018977655341
24,47.2879750841751,-2.17293552188552,4.2038567493113
25,47.2877802188552,-2.1727918630752,4.26507499234772
26,47.2875566498317,-2.17260375982043,4.32384450566269
27,47.2873330808081,-2.17241565656566,4.3801652892562
28,47.2871095117845,-2.17222755331089,4.43403734312825
29,47.286885942761,-2.17203945005612,4.48546066727885
30,47.2866623737374,-2.17185134680135,4.53443526170799
31,47.2864388047138,-2.17166324354658,4.58096112641567
32,47.2862152356902,-2.17147514029181,4.6250382614019
33,47.2859916666667,-2.17128703703704,4.66666666666667
34,47.2857680976431,-2.17109893378227,4.70584634220998
35,47.2855445286195,-2.1709108305275,4.74257728803183
36,47.285320959596,-2.17072272727273,4.77685950413223
37,47.2850973905724,-2.17053462401796,4.80869299051117
38,47.2848738215488,-2.17034652076319,4.83807774716866
39,47.2846502525253,-2.17015841750842,4.86501377410468
40,47.2844266835017,-2.16997031425365,4.88950107131925
41,47.2842031144781,-2.16978221099888,4.91153963881237
42,47.2839795454546,-2.16959410774411,4.93112947658402
43,47.283755976431,-2.16940600448934,4.94827058463422
44,47.2835324074074,-2.16921790123457,4.96296296296296
45,47.2833088383838,-2.1690297979798,4.97520661157025
46,47.2830852693603,-2.16884169472503,4.98500153045608
47,47.2828617003367,-2.16865359147026,4.99234771962045
48,47.2826381313131,-2.16846548821549,4.99724517906336
49,47.2824145622896,-2.16827738496072,4.99969390878482
50,47.2821669191919,-2.16810224466891,4.99969390878482
51,47.2818952020202,-2.16794006734007,4.99724517906336
52,47.2816234848485,-2.16777789001122,4.99234771962045
53,47.2813517676768,-2.16761571268238,4.98500153045608
54,47.2810800505051,-2.16745353535354,4.97520661157025
55,47.2808083333333,-2.16729135802469,4.96296296296296
56,47.2805366161616,-2.16712918069585,4.94827058463422
57,47.2802648989899,-2.166967003367,4.93112947658402
58,47.2799931818182,-2.16680482603816,4.91153963881237
59,47.2797214646465,-2.16664264870932,4.88950107131925
60,47.2794497474748,-2.16648047138047,4.86501377410468
61,47.279178030303,-2.16631829405163,4.83807774716866
62,47.2789063131313,-2.16615611672278,4.80869299051117
63,47.2786345959596,-2.16599393939394,4.77685950413223
64,47.2783628787879,-2.1658317620651,4.74257728803183
65,47.2780911616162,-2.16566958473625,4.70584634220998
66,47.2778194444445,-2.16550740740741,4.66666666666667
67,47.2775477272727,-2.16534523007856,4.6250382614019
68,47.277276010101,-2.16518305274972,4.58096112641567
69,47.2770042929293,-2.16502087542088,4.53443526170799
70,47.2767325757576,-2.16485869809203,4.48546066727885
71,47.2764608585859,-2.16469652076319,4.43403734312825
72,47.2761891414141,-2.16453434343434,4.3801652892562
73,47.2759174242424,-2.1643721661055,4.32384450566269
74,47.2756457070707,-2.16420998877666,4.26507499234772
75,47.2753820707071,-2.16410749158249,4.20385674931129
76,47.2751211279461,-2.16402488776655,4.14018977655341
77,47.2748601851852,-2.16394228395062,4.07407407407407
78,47.2745992424242,-2.16385968013468,4.00550964187328
79,47.2743382996633,-2.16377707631874,3.93449647995103
80,47.2740773569024,-2.16369447250281,3.86103458830732
81,47.2738164141414,-2.16361186868687,3.78512396694215
82,47.2735554713805,-2.16352926487093,3.70676461585552
83,47.2732945286195,-2.16344666105499,3.62595653504744
84,47.2730335858586,-2.16336405723906,3.54269972451791
85,47.2727726430976,-2.16328145342312,3.45699418426691
86,47.2725117003367,-2.16319884960718,3.36883991429446
87,47.2722507575758,-2.16311624579125,3.27823691460055
88,47.2719898148148,-2.16303364197531,3.18518518518518
89,47.2717288720539,-2.16295103815937,3.08968472604836
90,47.2714679292929,-2.16286843434343,2.99173553719008
91,47.271206986532,-2.1627858305275,2.89133761861035
92,47.270946043771,-2.16270322671156,2.78849097030915
93,47.2706851010101,-2.16262062289562,2.6831955922865
94,47.2704241582492,-2.16253801907969,2.57545148454239
95,47.2701632154882,-2.16245541526375,2.46525864707683
96,47.2699022727273,-2.16237281144781,2.35261707988981
97,47.2696413299663,-2.16229020763187,2.23752678298133
98,47.2693803872054,-2.16220760381594,2.11998775635139
99,47.2691194444444,-2.162125,2
