node_id,latitude,longitude,height_m
0,47.2924222222222,-2.17602777777778,35
1,47.2919551858079,-2.17570303047089,37.3990004164931
2,47.2914881493935,-2.175378283164,39.698042482299
3,47.2910211129792,-2.17505353585711,41.8971261974177
4,47.2905540765648,-2.17472878855022,43.9962515618492
5,47.2877552050818,-2.17277081735015,54.4918783840067
6,47.2873067219737,-2.17239347915278,55.8912952936277
7,47.2868582388656,-2.1720161409554,57.1907538525614
8,47.2864097557575,-2.17163880275803,58.390254060808
9,47.2859612726494,-2.17126146456065,59.4897959183674
10,47.2832703740008,-2.1689974353764,63.987921699292
11,47.2828218908927,-2.16862009717902,64.3877551020408
12,47.2823734077846,-2.16824275898165,64.6876301541025
13,47.2818995192654,-2.16794264413451,64.8875468554769
14,47.2814208818522,-2.16765696422449,64.9875052061641
15,47.2785490573726,-2.16594288476437,63.4881299458559
16,47.2780704199594,-2.16565720485435,62.8883798417326
17,47.2775917825461,-2.16537152494434,62.1886713869221
18,47.2771131451329,-2.16508584503432,61.3890045814244
19,47.2766345077196,-2.1648001651243,60.4893794252395
20,47.2711389023265,-2.16276427784997,43.9962515618492
21,47.270634037856,-2.16260445838748,41.8971261974178
22,47.2701291733855,-2.16244463892499,39.698042482299
23,47.269624308915,-2.16228481946249,37.3990004164931
24,47.2691194444444,-2.162125,35
