=== Starting LoRaWAN simulation with ENU coordinates ===
✓ Channel setup complete
Placed end device 0 at ENU: x=0.0000, y=0.0000, z=20.0000
Placed end device 1 at ENU: x=-36.5803, y=-38.9182, z=22.0000
Placed end device 2 at ENU: x=-72.9286, y=-77.8364, z=24.0000
Placed end device 3 at ENU: x=-109.2769, y=-116.7547, z=27.0000
Placed end device 4 at ENU: x=-145.6252, y=-155.6729, z=30.0000
Placed end device 5 at ENU: x=-181.9735, y=-194.5911, z=33.0000
Placed end device 6 at ENU: x=-212.1349, y=-233.5093, z=36.0000
Placed end device 7 at ENU: x=-227.6022, y=-272.4276, z=39.0000
Placed end device 8 at ENU: x=-223.7354, y=-311.3458, z=42.0000
Placed end device 9 at ENU: x=-216.0017, y=-350.2640, z=45.0000
Placed end device 10 at ENU: x=-208.2680, y=-389.1822, z=48.0000
Placed end device 11 at ENU: x=-200.5343, y=-428.1005, z=51.0000
Placed end device 12 at ENU: x=-196.6675, y=-467.0187, z=54.0000
Placed end device 13 at ENU: x=-194.3474, y=-505.9369, z=56.0000
Placed end device 14 at ENU: x=-192.8007, y=-544.8551, z=58.0000
Placed end device 15 at ENU: x=-200.5343, y=-583.7734, z=60.0000
Placed end device 16 at ENU: x=-216.0017, y=-622.6916, z=61.0000
Placed end device 17 at ENU: x=-235.3359, y=-661.6098, z=63.0000
Placed end device 18 at ENU: x=-254.6701, y=-700.5280, z=64.0000
Placed end device 19 at ENU: x=-274.0043, y=-739.4463, z=65.0000
Placed end device 20 at ENU: x=-293.3385, y=-778.3645, z=66.0000
Placed end device 21 at ENU: x=-316.5395, y=-822.8425, z=66.0000
Placed end device 22 at ENU: x=-339.7406, y=-867.3204, z=66.0000
Placed end device 23 at ENU: x=-366.8085, y=-911.7984, z=66.0000
Placed end device 24 at ENU: x=-393.8763, y=-956.2764, z=65.0000
Placed end device 25 at ENU: x=-417.0774, y=-1000.7543, z=65.0000
Placed end device 26 at ENU: x=-440.2784, y=-1045.2323, z=64.0000
Placed end device 27 at ENU: x=-463.4795, y=-1089.7103, z=63.0000
Placed end device 28 at ENU: x=-486.6805, y=-1134.1883, z=62.0000
Placed end device 29 at ENU: x=-509.8816, y=-1178.6662, z=60.0000
Placed end device 30 at ENU: x=-533.0826, y=-1223.1442, z=58.0000
Placed end device 31 at ENU: x=-556.2836, y=-1267.6222, z=56.0000
Placed end device 32 at ENU: x=-579.4847, y=-1312.1001, z=54.0000
Placed end device 33 at ENU: x=-602.6857, y=-1356.5781, z=51.0000
Placed end device 34 at ENU: x=-625.8868, y=-1401.0561, z=48.0000
Placed end device 35 at ENU: x=-641.3541, y=-1434.4146, z=45.0000
Placed end device 36 at ENU: x=-656.8215, y=-1456.6535, z=42.0000
Placed end device 37 at ENU: x=-672.2888, y=-1473.3328, z=39.0000
Placed end device 38 at ENU: x=-687.7562, y=-1490.0120, z=36.0000
Placed end device 39 at ENU: x=-699.3567, y=-1501.1315, z=33.0000
Placed end device 40 at ENU: x=-710.9572, y=-1512.2510, z=30.0000
Placed end device 41 at ENU: x=-718.6909, y=-1521.1466, z=28.0000
Placed end device 42 at ENU: x=-726.4246, y=-1527.8183, z=26.0000
Placed end device 43 at ENU: x=-732.6116, y=-1531.1541, z=24.0000
Placed end device 44 at ENU: x=-738.0251, y=-1533.3780, z=23.0000
Placed end device 45 at ENU: x=-743.4387, y=-1534.4900, z=22.0000
