node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
29,-200.53433473059292,-548.1909883579856,63.0,45.9324,6.735993,0.0
30,-208.2680152061429,-567.0941258873274,64.0,45.9324,6.735993,0.0
31,-216.00169568163136,-585.9972634173765,64.0,45.9324,6.735993,0.0
32,-223.73537615711982,-604.9004009467184,65.0,45.9324,6.735993,0.0
33,-231.46905663273128,-623.8035384767675,65.0,45.9324,6.735993,0.0
34,-243.06957734602548,-642.7066760061093,65.0,45.9324,6.735993,0.0
35,-254.67009805925815,-661.6098135354512,65.0,45.9324,6.735993,0.0
36,-266.2706187726139,-680.5129510655003,66.0,45.9324,6.735993,0.0
37,-277.87113948590803,-699.4160885948421,66.0,45.9324,6.735993,0.0
38,-289.47166019920223,-718.3192261248912,66.0,45.9324,6.735993,0.0
39,-301.07218091249644,-737.2223636535257,66.0,45.9324,6.735993,0.0
40,-310.3525974831195,-756.1255011828674,66.0,45.9324,6.735993,0.0
41,-319.63301405374256,-776.1405879788076,66.0,45.9324,6.735993,0.0
42,-328.9134306244271,-796.155674775455,66.0,45.9324,6.735993,0.0
43,-338.1938471950502,-816.1707615713951,66.0,45.9324,6.735993,0.0
44,-347.4742637657347,-836.1858483673352,66.0,45.9324,6.735993,0.0
45,-356.75468033635775,-856.2009351632753,66.0,45.9324,6.735993,0.0
46,-366.0350969069808,-876.2160219592155,66.0,45.9324,6.735993,0.0
47,-376.86224957273845,-896.2311087551556,66.0,45.9324,6.735993,0.0
48,-387.68940223849614,-916.246195551803,66.0,45.9324,6.735993,0.0
49,-398.5165549042537,-936.2612823477431,65.0,45.9324,6.735993,0.0
50,-409.3437075700114,-956.2763691436832,65.0,45.9324,6.735993,0.0
51,-420.17086023576906,-976.2914559396233,65.0,45.9324,6.735993,0.0
52,-430.99801290146524,-996.3065427355634,64.0,45.9324,6.735993,0.0
53,-441.8251655672229,-1016.3216295315035,64.0,45.9324,6.735993,0.0
54,-452.65231823298046,-1036.336716328151,63.0,45.9324,6.735993,0.0
55,-463.47947089867665,-1056.351803124091,63.0,45.9324,6.735993,0.0
56,-474.3066235644343,-1076.366889920031,62.0,45.9324,6.735993,0.0
57,-485.133776230192,-1096.3819767159712,62.0,45.9324,6.735993,0.0
58,-495.96092889588806,-1116.3970635119113,61.0,45.9324,6.735993,0.0
59,-506.7880815616457,-1136.4121503078516,60.0,45.9324,6.735993,0.0
60,-517.6152342274033,-1156.4272371037916,59.0,45.9324,6.735993,0.0
61,-528.442386893161,-1176.442323900439,58.0,45.9324,6.735993,0.0
62,-539.2695395589187,-1196.4574106963792,57.0,45.9324,6.735993,0.0
63,-550.0966922246763,-1216.4724974916119,56.0,45.9324,6.735993,0.0
64,-560.923844890434,-1236.487584287552,55.0,45.9324,6.735993,0.0
65,-571.7509975561301,-1256.502671083492,54.0,45.9324,6.735993,0.0
66,-582.5781502218878,-1276.5177578794323,52.0,45.9324,6.735993,0.0
67,-593.4053028876455,-1296.5328446753724,51.0,45.9324,6.735993,0.0
68,-604.232455553403,-1316.5479314720199,50.0,45.9324,6.735993,0.0
69,-615.0596082191607,-1336.56301826796,48.0,45.9324,6.735993,0.0
70,-625.8867608849184,-1356.5781050639,47.0,45.9324,6.735993,0.0
71,-635.1671774555414,-1373.2573440600452,45.0,45.9324,6.735993,0.0
72,-644.4475940261644,-1389.936583057605,44.0,45.9324,6.735993,0.0
73,-653.7280105967875,-1406.6158220537502,42.0,45.9324,6.735993,0.0
74,-663.0084271674107,-1423.2950610506027,40.0,45.9324,6.735993,0.0
75,-672.2888437381566,-1439.9743000474552,38.0,45.9324,6.735993,0.0
76,-681.5692603087797,-1454.4296405111113,36.0,45.9324,6.735993,0.0
77,-690.8496768794028,-1467.7730317088763,34.0,45.9324,6.735993,0.0
78,-698.5833573548912,-1478.8925243727372,32.0,45.9324,6.735993,0.0
79,-706.3170378304412,-1490.0120170380128,30.0,45.9324,6.735993,0.0
80,-712.503982210918,-1498.9076111693846,29.0,45.9324,6.735993,0.0
81,-718.6909265912719,-1506.6912560341582,28.0,45.9324,6.735993,0.0
82,-724.8778709717488,-1514.474900899639,27.0,45.9324,6.735993,0.0
83,-729.5180792570295,-1520.0346472319231,26.0,45.9324,6.735993,0.0
84,-732.6115514472987,-1524.482444297609,25.0,45.9324,6.735993,0.0
85,-735.7050236375064,-1527.8182920959891,24.0,45.9324,6.735993,0.0
86,-738.0251277801161,-1530.0421906291858,23.0,45.9324,6.735993,0.0
87,-740.3452319227872,-1532.2660891630896,22.0,45.9324,6.735993,0.0
88,-742.6653360653968,-1533.3780384289807,22.0,45.9324,6.735993,0.0
89,-744.9854402081295,-1534.489987695579,21.0,45.9324,6.735993,0.0
90,-747.3055443508006,-1535.60193696147,21.0,45.9324,6.735993,0.0
91,-749.6256484934103,-1536.7138862280683,21.0,45.9324,6.735993,0.0
92,-751.1723845885449,-1537.2698608620747,20.0,45.9324,6.735993,0.0
93,-752.7191206836794,-1537.8258354946665,20.0,45.9324,6.735993,0.0
94,-754.2658567787525,-1538.3818101279658,20.0,45.9324,6.735993,0.0
95,-755.8125928738872,-1538.9377847612648,20.0,45.9324,6.735993,0.0
96,-756.5859609214236,-1534.489987695579,20.0,45.9324,6.735993,0.0
97,-756.972644945192,-1525.5943935634998,20.0,45.9324,6.735993,0.0
98,-756.972644945192,-1518.9226979653247,20.0,45.9324,6.735993,0.0
99,-756.972644945192,-1512.2510023664422,20.0,45.9324,6.735993,0.0
