gateway_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,-365.17989573615614,-865.1287617086427,67.5,45.9324,6.735993,0.0
1,-694.451816578074,-1453.9326909618555,67.5,45.9324,6.735993,0.0
2,-161.4938725270761,-259.4328137931737,67.5,45.9324,6.735993,0.0
