node_id,latitude,longitude,height_m
0,45.9324,6.735993,20
1,45.93223,6.73576,21
2,45.93206,6.73553,22
3,45.93189,6.7353,23
4,45.93172,6.73507,24
5,45.93155,6.73484,25
6,45.93138,6.73461,27
7,45.93121,6.73438,28
8,45.93104,6.73415,29
9,45.93087,6.73392,31
10,45.9307,6.73369,33
11,45.93053,6.73348,35
12,45.93036,6.7333,36
13,45.93019,6.73315,38
14,45.93002,6.73305,40
15,45.92985,6.73302,42
16,45.92968,6.73305,44
17,45.92951,6.73312,46
18,45.92934,6.7332,48
19,45.92917,6.73328,50
20,45.929,6.73335,52
21,45.92883,6.7334,53
22,45.92866,6.73343,55
23,45.92849,6.73345,56
24,45.92832,6.73347,58
25,45.92815,6.73348,59
26,45.92798,6.73349,60
27,45.92781,6.7335,61
28,45.92764,6.73346,62
29,45.92747,6.7334,63
30,45.9273,6.7333,64
31,45.92713,6.7332,64
32,45.92696,6.7331,65
33,45.92679,6.733,65
34,45.92662,6.73285,65
35,45.92645,6.7327,65
36,45.92628,6.73255,66
37,45.92611,6.7324,66
38,45.92594,6.73225,66
39,45.92577,6.7321,66
40,45.9256,6.73198,66
41,45.92542,6.73186,66
42,45.92524,6.73174,66
43,45.92506,6.73162,66
44,45.92488,6.7315,66
45,45.9247,6.73138,66
46,45.92452,6.73126,66
47,45.92434,6.73112,66
48,45.92416,6.73098,66
49,45.92398,6.73084,65
50,45.9238,6.7307,65
51,45.92362,6.73056,65
52,45.92344,6.73042,64
53,45.92326,6.73028,64
54,45.92308,6.73014,63
55,45.9229,6.73,63
56,45.92272,6.72986,62
57,45.92254,6.72972,62
58,45.92236,6.72958,61
59,45.92218,6.72944,60
60,45.922,6.7293,59
61,45.92182,6.72916,58
62,45.92164,6.72902,57
63,45.92146,6.72888,56
64,45.92128,6.72874,55
65,45.9211,6.7286,54
66,45.92092,6.72846,52
67,45.92074,6.72832,51
68,45.92056,6.72818,50
69,45.92038,6.72804,48
70,45.9202,6.7279,47
71,45.92005,6.72778,45
72,45.9199,6.72766,44
73,45.91975,6.72754,42
74,45.9196,6.72742,40
75,45.91945,6.7273,38
76,45.91932,6.72718,36
77,45.9192,6.72706,34
78,45.9191,6.72696,32
79,45.919,6.72686,30
80,45.91892,6.72678,29
81,45.91885,6.7267,28
82,45.91878,6.72662,27
83,45.91873,6.72656,26
84,45.91869,6.72652,25
85,45.91866,6.72648,24
86,45.91864,6.72645,23
87,45.91862,6.72642,22
88,45.91861,6.72639,22
89,45.9186,6.72636,21
90,45.91859,6.72633,21
91,45.91858,6.7263,21
92,45.918575,6.72628,20
93,45.91857,6.72626,20
94,45.918565,6.72624,20
95,45.91856,6.72622,20
96,45.9186,6.72621,20
97,45.91868,6.726205,20
98,45.91874,6.726205,20
99,45.9188,6.726205,20
