node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,0.0,0.0,35.0,47.29242222222222,-2.176027777777778,0.0
1,24.492026851710012,-51.93207983332948,37.39900041649313,47.29242222222222,-2.176027777777778,0.0
2,48.984053703420024,-103.86415966736628,39.69804248229904,47.29242222222222,-2.176027777777778,0.0
3,73.47608055507007,-155.7962395021104,41.89712619741774,47.29242222222222,-2.176027777777778,0.0
4,97.96810740681008,-207.72831933614722,43.99625156184923,47.29242222222222,-2.176027777777778,0.0
5,122.4601342584601,-259.660399170184,45.995418575593504,47.29242222222222,-2.176027777777778,0.0
6,146.95216111020008,-311.5924790042208,47.89462723865056,47.29242222222222,-2.176027777777778,0.0
7,171.44418796185013,-363.52455883825763,49.69387755102041,47.29242222222222,-2.176027777777778,0.0
8,195.93621481359014,-415.4566386715871,51.39316951270304,47.29242222222222,-2.176027777777778,0.0
9,220.4282416652402,-467.38871850633126,52.992503123698455,47.29242222222222,-2.176027777777778,0.0
10,245.63579298691315,-518.9486285795823,54.49187838400667,47.29242222222222,-2.176027777777778,0.0
11,274.0941575867546,-568.8176748858801,55.89129529362765,47.29242222222222,-2.176027777777778,0.0
12,302.552522186566,-618.6867211914705,57.19075385256143,47.29242222222222,-2.176027777777778,0.0
13,331.01088678643737,-668.5557674984756,58.39025406080799,47.29242222222222,-2.176027777777778,0.0
14,359.4692513862788,-718.4248138033587,59.48979591836735,47.29242222222222,-2.176027777777778,0.0
15,387.9276159861202,-768.293860111071,60.48937942523949,47.29242222222222,-2.176027777777778,0.0
16,416.38598058596165,-818.1629064166615,61.3890045814244,47.29242222222222,-2.176027777777778,0.0
17,444.844345185803,-868.0319527236666,62.18867138692212,47.29242222222222,-2.176027777777778,0.0
18,473.3027097856444,-917.9009990292569,62.888379841732615,47.29242222222222,-2.176027777777778,0.0
19,501.7610743854858,-967.770045336262,63.488129945855896,47.29242222222222,-2.176027777777778,0.0
20,530.2194389853273,-1017.6390916425597,63.98792169929196,47.29242222222222,-2.176027777777778,0.0
21,558.6778035851686,-1067.50813794815,64.38775510204081,47.29242222222222,-2.176027777777778,0.0
22,587.1361681849801,-1117.377184254448,64.68763015410246,47.29242222222222,-2.176027777777778,0.0
23,609.770446402519,-1170.0711833827436,64.88754685547688,47.29242222222222,-2.176027777777778,0.0
24,631.316060111253,-1223.29323543879,64.9875052061641,47.29242222222222,-2.176027777777778,0.0
25,652.861673819987,-1276.5152874955434,64.9875052061641,47.29242222222222,-2.176027777777778,0.0
26,674.4072875286611,-1329.737339552297,64.88754685547688,47.29242222222222,-2.176027777777778,0.0
27,695.952901237365,-1382.9593916083431,64.68763015410246,47.29242222222222,-2.176027777777778,0.0
28,717.4985149460391,-1436.1814436643895,64.38775510204081,47.29242222222222,-2.176027777777778,0.0
29,739.0441286547431,-1489.4034957218503,63.98792169929196,47.29242222222222,-2.176027777777778,0.0
30,760.589742363447,-1542.625547778604,63.4881299458559,47.29242222222222,-2.176027777777778,0.0
31,782.1353560721511,-1595.8475998353574,62.888379841732615,47.29242222222222,-2.176027777777778,0.0
32,803.6809697808551,-1649.0696518914037,62.18867138692212,47.29242222222222,-2.176027777777778,0.0
33,825.2265834894993,-1702.2917039481574,61.38900458142441,47.29242222222222,-2.176027777777778,0.0
34,846.7721971982031,-1755.5137560049109,60.48937942523949,47.29242222222222,-2.176027777777778,0.0
35,868.3178109069373,-1808.7358080609572,59.48979591836735,47.29242222222222,-2.176027777777778,0.0
36,889.8634246156113,-1861.9578601177107,58.390254060808005,47.29242222222222,-2.176027777777778,0.0
37,903.8891766520705,-1917.4902524466327,57.19075385256144,47.29242222222222,-2.176027777777778,0.0
38,915.9425562606386,-1973.628620208869,55.89129529362766,47.29242222222222,-2.176027777777778,0.0
39,927.9959358691767,-2029.7669879739349,54.49187838400667,47.29242222222222,-2.176027777777778,0.0
40,940.0493154777746,-2085.905355738293,52.99250312369847,47.29242222222222,-2.176027777777778,0.0
41,952.1026950862828,-2142.043723503359,51.39316951270305,47.29242222222222,-2.176027777777778,0.0
42,964.1560746948509,-2198.182091266303,49.693877551020414,47.29242222222222,-2.176027777777778,0.0
43,976.209454303389,-2254.3204590306614,47.89462723865056,47.29242222222222,-2.176027777777778,0.0
44,988.2628339119871,-2310.458826793605,45.99541857559351,47.29242222222222,-2.176027777777778,0.0
45,1000.3162135205251,-2366.5971945593783,43.99625156184924,47.29242222222222,-2.176027777777778,0.0
46,1012.3695931290932,-2422.735562322322,41.89712619741775,47.29242222222222,-2.176027777777778,0.0
47,1024.4229727376612,-2478.8739300866805,39.69804248229904,47.29242222222222,-2.176027777777778,0.0
48,1036.4763523461993,-2535.0122978496242,37.39900041649313,47.29242222222222,-2.176027777777778,0.0
49,1048.5297319547674,-2591.15066561469,35.0,47.29242222222222,-2.176027777777778,0.0
