node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,0.0,0.0,20.0,45.9324,6.735993,0.0
1,-36.58030864927814,-38.91822432669656,22.0,45.9324,6.735993,0.0
2,-72.92860688423382,-77.83644865197847,24.0,45.9324,6.735993,0.0
3,-109.27690511925098,-116.75467297726038,27.0,45.9324,6.735993,0.0
4,-145.62520335426817,-155.6728973032496,30.0,45.9324,6.735993,0.0
5,-181.97350158928532,-194.59112162853154,33.0,45.9324,6.735993,0.0
6,-212.13485544388715,-233.50934595381347,36.0,45.9324,6.735993,0.0
7,-227.60221639492553,-272.4275702798027,39.0,45.9324,6.735993,0.0
8,-223.73537615711982,-311.3457946050846,42.0,45.9324,6.735993,0.0
9,-216.00169568163136,-350.2640189303665,45.0,45.9324,6.735993,0.0
10,-208.2680152061429,-389.1822432563558,48.0,45.9324,6.735993,0.0
11,-200.53433473059292,-428.10046758163764,51.0,45.9324,6.735993,0.0
12,-196.6674944927872,-467.01869190762693,54.0,45.9324,6.735993,0.0
13,-194.34739035011606,-505.9369162329088,56.0,45.9324,6.735993,0.0
14,-192.80065425504299,-544.8551405581908,58.0,45.9324,6.735993,0.0
15,-200.53433473059292,-583.7733648848873,60.0,45.9324,6.735993,0.0
16,-216.00169568163136,-622.6915892101692,61.0,45.9324,6.735993,0.0
17,-235.33589687047552,-661.6098135354512,63.0,45.9324,6.735993,0.0
18,-254.67009805925815,-700.5280378614403,64.0,45.9324,6.735993,0.0
19,-274.0042992481023,-739.4462621867223,65.0,45.9324,6.735993,0.0
20,-293.33850043700795,-778.3644865120042,66.0,45.9324,6.735993,0.0
21,-316.53954186353485,-822.8424571702776,66.0,45.9324,6.735993,0.0
22,-339.74058329012325,-867.3204278278437,66.0,45.9324,6.735993,0.0
23,-366.8084649545174,-911.7983984861171,66.0,45.9324,6.735993,0.0
24,-393.87634661891155,-956.2763691436832,65.0,45.9324,6.735993,0.0
25,-417.0773880454999,-1000.7543398012493,65.0,45.9324,6.735993,0.0
26,-440.27842947214975,-1045.2323104588154,64.0,45.9324,6.735993,0.0
27,-463.47947089867665,-1089.7102811170887,63.0,45.9324,6.735993,0.0
28,-486.680512325265,-1134.1882517753622,62.0,45.9324,6.735993,0.0
29,-509.88155375191496,-1178.6662224329282,60.0,45.9324,6.735993,0.0
30,-533.0825951785033,-1223.1441930904944,58.0,45.9324,6.735993,0.0
31,-556.2836366051532,-1267.622163748768,56.0,45.9324,6.735993,0.0
32,-579.4846780316801,-1312.1001344063338,54.0,45.9324,6.735993,0.0
33,-602.6857194582684,-1356.5781050639,51.0,45.9324,6.735993,0.0
34,-625.8867608849184,-1401.056075721466,48.0,45.9324,6.735993,0.0
35,-641.3541218360183,-1434.4145537151712,45.0,45.9324,6.735993,0.0
36,-656.8214827870568,-1456.6535390443078,42.0,45.9324,6.735993,0.0
37,-672.2888437381566,-1473.3327780404531,39.0,45.9324,6.735993,0.0
38,-687.7562046891335,-1490.0120170380128,36.0,45.9324,6.735993,0.0
39,-699.3567254024277,-1501.131509701874,33.0,45.9324,6.735993,0.0
40,-710.9572461157835,-1512.2510023664422,30.0,45.9324,6.735993,0.0
41,-718.6909265912719,-1521.146596497814,28.0,45.9324,6.735993,0.0
42,-726.4246070668219,-1527.8182920959891,26.0,45.9324,6.735993,0.0
43,-732.6115514472987,-1531.154139895784,24.0,45.9324,6.735993,0.0
44,-738.0251277801161,-1533.3780384289807,23.0,45.9324,6.735993,0.0
45,-743.4387041129949,-1534.489987695579,22.0,45.9324,6.735993,0.0
46,-748.0789123982757,-1535.60193696147,21.0,45.9324,6.735993,0.0
47,-751.1723845885449,-1536.7138862280683,21.0,45.9324,6.735993,0.0
48,-754.2658567787525,-1536.7138862280683,20.0,45.9324,6.735993,0.0
49,-756.972644945192,-1512.2510023664422,20.0,45.9324,6.735993,0.0
