=== Starting LoRaWAN simulation with ENU coordinates ===
✓ Channel setup complete
Placed end device 0 at ENU: x=0.0000, y=0.0000, z=20.0000
Placed end device 1 at ENU: x=-18.0195, y=-18.9031, z=21.0000
Placed end device 2 at ENU: x=-35.8069, y=-37.8063, z=22.0000
Placed end device 3 at ENU: x=-53.5944, y=-56.7094, z=23.0000
Placed end device 4 at ENU: x=-71.3819, y=-75.6126, z=24.0000
Placed end device 5 at ENU: x=-89.1693, y=-94.5157, z=25.0000
Placed end device 6 at ENU: x=-106.9568, y=-113.4188, z=27.0000
Placed end device 7 at ENU: x=-124.7443, y=-132.3220, z=28.0000
Placed end device 8 at ENU: x=-142.5317, y=-151.2251, z=29.0000
Placed end device 9 at ENU: x=-160.3192, y=-170.1282, z=31.0000
Placed end device 10 at ENU: x=-178.1067, y=-189.0314, z=33.0000
Placed end device 11 at ENU: x=-194.3474, y=-207.9345, z=35.0000
Placed end device 12 at ENU: x=-208.2680, y=-226.8377, z=36.0000
Placed end device 13 at ENU: x=-219.8685, y=-245.7408, z=38.0000
Placed end device 14 at ENU: x=-227.6022, y=-264.6439, z=40.0000
Placed end device 15 at ENU: x=-229.9223, y=-283.5471, z=42.0000
Placed end device 16 at ENU: x=-227.6022, y=-302.4502, z=44.0000
Placed end device 17 at ENU: x=-222.1886, y=-321.3533, z=46.0000
Placed end device 18 at ENU: x=-216.0017, y=-340.2565, z=48.0000
Placed end device 19 at ENU: x=-209.8148, y=-359.1596, z=50.0000
Placed end device 20 at ENU: x=-204.4012, y=-378.0628, z=52.0000
Placed end device 21 at ENU: x=-200.5343, y=-396.9659, z=53.0000
Placed end device 22 at ENU: x=-198.2142, y=-415.8690, z=55.0000
Placed end device 23 at ENU: x=-196.6675, y=-434.7722, z=56.0000
Placed end device 24 at ENU: x=-195.1208, y=-453.6753, z=58.0000
Placed end device 25 at ENU: x=-194.3474, y=-472.5784, z=59.0000
Placed end device 26 at ENU: x=-193.5740, y=-491.4816, z=60.0000
Placed end device 27 at ENU: x=-192.8007, y=-510.3847, z=61.0000
Placed end device 28 at ENU: x=-195.8941, y=-529.2879, z=62.0000
Placed end device 29 at ENU: x=-200.5343, y=-548.1910, z=63.0000
Placed end device 30 at ENU: x=-208.2680, y=-567.0941, z=64.0000
Placed end device 31 at ENU: x=-216.0017, y=-585.9973, z=64.0000
Placed end device 32 at ENU: x=-223.7354, y=-604.9004, z=65.0000
Placed end device 33 at ENU: x=-231.4691, y=-623.8035, z=65.0000
Placed end device 34 at ENU: x=-243.0696, y=-642.7067, z=65.0000
Placed end device 35 at ENU: x=-254.6701, y=-661.6098, z=65.0000
Placed end device 36 at ENU: x=-266.2706, y=-680.5130, z=66.0000
Placed end device 37 at ENU: x=-277.8711, y=-699.4161, z=66.0000
Placed end device 38 at ENU: x=-289.4717, y=-718.3192, z=66.0000
Placed end device 39 at ENU: x=-301.0722, y=-737.2224, z=66.0000
Placed end device 40 at ENU: x=-310.3526, y=-756.1255, z=66.0000
Placed end device 41 at ENU: x=-319.6330, y=-776.1406, z=66.0000
Placed end device 42 at ENU: x=-328.9134, y=-796.1557, z=66.0000
Placed end device 43 at ENU: x=-338.1938, y=-816.1708, z=66.0000
Placed end device 44 at ENU: x=-347.4743, y=-836.1858, z=66.0000
Placed end device 45 at ENU: x=-356.7547, y=-856.2009, z=66.0000
Placed end device 46 at ENU: x=-366.0351, y=-876.2160, z=66.0000
Placed end device 47 at ENU: x=-376.8622, y=-896.2311, z=66.0000
Placed end device 48 at ENU: x=-387.6894, y=-916.2462, z=66.0000
Placed end device 49 at ENU: x=-398.5166, y=-936.2613, z=65.0000
Placed end device 50 at ENU: x=-409.3437, y=-956.2764, z=65.0000
Placed end device 51 at ENU: x=-420.1709, y=-976.2915, z=65.0000
Placed end device 52 at ENU: x=-430.9980, y=-996.3065, z=64.0000
Placed end device 53 at ENU: x=-441.8252, y=-1016.3216, z=64.0000
Placed end device 54 at ENU: x=-452.6523, y=-1036.3367, z=63.0000
Placed end device 55 at ENU: x=-463.4795, y=-1056.3518, z=63.0000
Placed end device 56 at ENU: x=-474.3066, y=-1076.3669, z=62.0000
Placed end device 57 at ENU: x=-485.1338, y=-1096.3820, z=62.0000
