node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,0.0,0.0,35.0,47.2924222222222,-2.17602777777778,0.0
1,24.492026851650053,-51.93207982837822,37.3990004164931,47.2924222222222,-2.17602777777778,0.0
2,48.984053703360075,-103.86415966807361,39.698042482299,47.2924222222222,-2.17602777777778,0.0
3,73.4760805550701,-155.79623949645182,41.8971261974177,47.2924222222222,-2.17602777777778,0.0
4,97.96810740675012,-207.7283193354399,43.9962515618492,47.2924222222222,-2.17602777777778,0.0
5,245.63579298724306,-518.9486285753384,54.4918783840067,47.2924222222222,-2.17602777777778,0.0
6,274.0941575866647,-568.8176748823435,55.8912952936277,47.2924222222222,-2.17602777777778,0.0
7,302.552522186836,-618.6867211886412,57.1907538525614,47.2924222222222,-2.17602777777778,0.0
8,331.01088678625763,-668.5557674956463,58.390254060808,47.2924222222222,-2.17602777777778,0.0
9,359.4692513864288,-718.4248138012367,59.4897959183674,47.2924222222222,-2.17602777777778,0.0
10,530.2194389851775,-1017.6390916404378,63.987921699292,47.2924222222222,-2.17602777777778,0.0
11,558.6778035853188,-1067.5081379474427,64.3877551020408,47.2924222222222,-2.17602777777778,0.0
12,587.1361681847404,-1117.3771842537406,64.6876301541025,47.2924222222222,-2.17602777777778,0.0
13,609.770446402879,-1170.071183383451,64.8875468554769,47.2924222222222,-2.17602777777778,0.0
14,631.3160601116131,-1223.2932354338386,64.9875052061641,47.2924222222222,-2.17602777777778,0.0
15,760.5897423639271,-1542.6255477793113,63.4881299458559,47.2924222222222,-2.17602777777778,0.0
16,782.1353560726311,-1595.847599829699,62.8883798417326,47.2924222222222,-2.17602777777778,0.0
17,803.6809697805855,-1649.0696518906964,62.1886713869221,47.2924222222222,-2.17602777777778,0.0
18,825.2265834893195,-1702.2917039403767,61.3890045814244,47.2924222222222,-2.17602777777778,0.0
19,846.7721971980236,-1755.5137560020817,60.4893794252395,47.2924222222222,-2.17602777777778,0.0
20,1000.3162135208253,-2366.597194555134,43.9962515618492,47.2924222222222,-2.17602777777778,0.0
21,1012.3695931291535,-2422.735562318078,41.8971261974178,47.2924222222222,-2.17602777777778,0.0
22,1024.4229727374818,-2478.8739300803145,39.698042482299,47.2924222222222,-2.17602777777778,0.0
23,1036.4763523465595,-2535.0122978432582,37.3990004164931,47.2924222222222,-2.17602777777778,0.0
24,1048.529731954888,-2591.1506656168117,35.0,47.2924222222222,-2.17602777777778,0.0
