gateway_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,-636.6018252082112,-1382.9902901099251,67.5,45.9324,6.735993,0.0
1,-194.66891537102362,-418.1589008346987,67.5,45.9324,6.735993,0.0
