time_s,node_id,x_m,y_m,z_m,initial_energy_J,remaining_energy_J,consumed_energy_J,sf
3600,0,0,0,2,10000,9999.471,0.529,9
3600,1,9.7172,-20.6041,2.12,10000,9998.071,1.929,9
3600,2,19.4345,-41.2083,2.2375,10000,9996.351,3.649,11
3600,3,29.1517,-61.8124,2.3526,10000,9999.599,0.401,8
3600,4,38.869,-82.4165,2.4653,10000,9999.239,0.761,8
3600,5,48.5862,-103.0207,2.5755,10000,9999.317,0.683,7
3600,6,58.3035,-123.6248,2.6832,10000,9999.607,0.393,7
3600,7,68.0207,-144.2289,2.7885,10000,9999.607,0.393,7
3600,8,77.738,-164.8331,2.8913,10000,9999.747,0.253,7
3600,9,87.4552,-185.4372,2.9917,10000,9999.584,0.416,7
3600,10,97.1725,-206.0413,3.0897,10000,9999.469,0.531,7
3600,11,106.8897,-226.6455,3.1852,10000,9999.679,0.321,8
3600,12,116.607,-247.2496,3.2782,10000,9999.317,0.683,7
3600,13,126.3242,-267.8537,3.3688,10000,9999.747,0.253,7
3600,14,136.0415,-288.4579,3.457,10000,9999.238,0.762,7
3600,15,145.7587,-309.062,3.5427,10000,9999.723,0.277,7
3600,16,155.476,-329.6661,3.626,10000,9999.654,0.346,7
3600,17,165.1932,-350.2703,3.7068,10000,9999.596,0.404,7
3600,18,174.9105,-370.8744,3.7851,10000,9999.747,0.253,7
3600,19,184.6277,-391.4785,3.861,10000,9999.561,0.439,7
3600,20,194.345,-412.0827,3.9345,10000,9999.493,0.507,7
3600,21,204.0622,-432.6868,4.0055,10000,9999.7,0.3,7
3600,22,213.7795,-453.2909,4.0741,10000,9999.55,0.45,7
3600,23,223.4967,-473.8951,4.1402,10000,9999.677,0.323,7
3600,24,233.214,-494.4992,4.2039,10000,9999.723,0.277,7
3600,25,244.0486,-516.1672,4.2651,10000,9999.457,0.543,7
3600,26,258.2351,-541.027,4.3238,10000,9999.355,0.645,7
3600,27,272.4216,-565.8867,4.3802,10000,9999.259,0.741,7
3600,28,286.6081,-590.7464,4.434,10000,9999.352,0.648,7
3600,29,300.7946,-615.6062,4.4855,10000,9999.677,0.323,7
3600,30,314.9811,-640.4659,4.5344,10000,9999.55,0.45,7
3600,31,329.1676,-665.3257,4.581,10000,9999.4,0.6,7
3600,32,343.3541,-690.1854,4.625,10000,9999.387,0.613,7
3600,33,357.5406,-715.0452,4.6667,10000,9999.527,0.473,7
3600,34,371.7271,-739.9049,4.7058,10000,9999.677,0.323,7
3600,35,385.9136,-764.7646,4.7426,10000,9999.434,0.566,7
3600,36,400.1001,-789.6244,4.7769,10000,9999.63,0.37,7
3600,37,414.2866,-814.4841,4.8087,10000,9999.607,0.393,7
3600,38,428.4731,-839.3439,4.8381,10000,9999.226,0.774,7
3600,39,442.6597,-864.2036,4.865,10000,9999.493,0.507,7
3600,40,456.8462,-889.0633,4.8895,10000,9999.55,0.45,7
3600,41,471.0327,-913.9231,4.9115,10000,9999.069,0.931,8
3600,42,485.2192,-938.7828,4.9311,10000,9999.114,0.886,8
3600,43,499.4057,-963.6426,4.9483,10000,9999.559,0.441,8
3600,44,513.5922,-988.5023,4.963,10000,9999.159,0.841,8
3600,45,527.7787,-1013.362,4.9752,10000,9999.713,0.287,7
3600,46,541.9652,-1038.2218,4.985,10000,9998.031,1.969,9
